id,category,type,question,answer,dummy1,dummy2,dummy3
400,算数（数）,choice,英語の数字の数え方（ThousandやMillionなど）や教科書のグラフは数字の０（ゼロ）が何個増えるたびに単位が変わる？（カンマの位置だよ）,３個ずつ増えるたび（３桁ごと）,４個ずつ増えるたび（４桁ごと）,２個ずつ増えるたび,６個ずつ増えるたび
401,算数（単位）,choice,面積の単位の１アール（a）。これはたてとよこが何メートルの正方形の広さと同じ？（みんなの教室と同じくらいの広さだよ）,たて１０ｍ、よこ１０ｍの正方形,たて１ｍ、よこ１ｍの正方形,たて１００ｍ、よこ１００ｍの正方形,たて１ｋｍ、よこ１ｋｍの正方形
402,算数（単位）,choice,面積の単位の１ヘクタール（ha）。これはたてとよこが何メートルの正方形の広さと同じ？（学校の校庭や大きなサッカースタジアムくらい）,たて１００ｍ、よこ１００ｍの正方形,たて１０ｍ、よこ１０ｍの正方形,たて１ｋｍ、よこ１ｋｍの正方形,たて１０００ｍ、よこ１０００ｍの正方形
403,算数（単位）,choice,単位換算のパズル。１ヘクタール（ha）の広い土地のなかに１アール（a）の四角い土地は全部でいくつ詰め込むことができる？,１００個,１０個,１０００個,１００００個
404,算数（単位）,choice,もっと広い単位のパズル。１平方キロメートル（km²）という巨大な土地のなかに１ヘクタール（ha）の土地は全部でいくつ入る？,１００個,１０個,１０００個,じつは１個だけ
405,算数（単位）,choice,算数のテストの定番ひっかけ！たて２０ｍでよこ５０ｍの長方形の畑があります。この畑の面積は何アール（a）ですか？,１０アール（20×50=1000㎡だから）,１０００アール,１アール,１００アール
406,算数（単位）,choice,算数のひっかけ問題その２！たて３００ｍでよこ４００ｍの大きな公園があります。この公園の面積は何ヘクタール（ha）ですか？,１２ヘクタール（300×400=120000㎡だから）,１２０ヘクタール,１２０報ヘクタール,1.2ヘクタール
407,算数（図形）,choice,４つの角がすべて直角（９０度）で向かい合う辺の長さが同じである長方形のノートのような形を何という？,長方形,正方形,ひし形,台形
408,算数（図形）,choice,４つの辺の長さがすべて同じでさらに４つの角もすべて直角（９０度）という完璧なサイコロの面のような形は何？,正方形,長方形,ひし形,平行四辺形
409,算数（図形）,choice,平行四辺形の向かい合う２組の辺の性質。この２本の線をどこまで長く伸ばすとどうなる？,どれだけ長く伸ばしても絶対に交わらない,ちょっと伸ばすとすぐぶつかる,斜め上の方で1回だけ交わる,じつは途中で平行ではなくなる
410,算数（図形）,choice,色々な四角形のなかで向かい合う辺が１組だけ平行になっているすべり台や怪獣の足のような形を何という？,台形（だいけい）,ひし形,平行四辺形,長方形
411,算数（図形）,choice,４つの辺の長さがすべて同じだけど角の角度は直角ではないトランプのダイヤのマークのような四角形を何という？,ひし形（ひしがた）,正方形,台形,平行四辺形
412,算数（図形）,choice,どんなにヘンテコな形でもすべての四角形の４つの内側の角の角度を全部足し算すると合計は絶対に何度になる？,３６０度,１８０度,９０度,５４０度
413,算数（図形）,choice,ひし形の対角線のひっかけ問題！ひし形の中にバツ印のように引いた２本の対角線は真ん中でどのように交わっている？,垂直（９０度）に交わっている,斜めに交わっている,じつは真ん中で交わらない,長さが絶対に同じになる
414,算数（計算）,choice,２５×１４×４という計算問題。左から順番に計算するよりも先にどことどこを掛け算すると一瞬で暗算のボーナスステージになる？,２５×４を先にやる（100になるから）,１４×４を先にやる,２５×１４を先にやる,じつはどれをやっても同じくらい難しい
415,算数（計算）,choice,１２５×７×８という計算問題。算数が得意な子が見た瞬間にニヤリとして最初に頭の中で計算するペアはどっち？,１２５×８（1000になるから）,７×８,１２５×７,右から順番に地道にやる
416,算数（計算）,choice,わり算のあまりの絶対ルール！▢÷６＝８あまり△という問題のときあまりの△に入る数字で絶対にありえない数字はどれ？,７（わる数の6より大きくなったらダメだよ）,2,5,1
417,算数（計算）,choice,割り算が合っているかを確かめる計算（たしかめ算）のやり方。正しい数式の組み合わせはどれ？,わる数 × 商 ＋ あまり ＝ わられる数,商 ＋ あまり × わる数 ＝ わられる数,わられる数 ÷ あまり ＝ 商,わる数 ＋ 商 ＋ あまり ＝ わられる数
418,算数（そろばん）,choice,そろばんの上のほうにポツンと１個ある５だま（五玉）。この珠を人差し指でパチッと下に下げると数字のいくつを表したことになる？,5,1,50,0
419,算数（そろばん）,choice,そろばんの下のほうに４個ずつ並んでいる１だま（一玉）。これを親指で３個上に押し上げると数字のいくつを表したことになる？,3,1,5,30
420,算数（そろばん）,choice,そろばんで計算を始める前に数字をきれいに全部消して０にリセットすることを何という？,ご破算（ごはさん）,ゲームセット,クリア,全消し
421,国語（慣用句）,choice,あまりにも仲が悪くて顔を合わせるとすぐに大ゲンカを始めてしまう２人の関係を有名なことわざでは何と何にたとえている？,犬と猿（犬猿の仲）,猫とネズミ,キツネとタヌキ,クジラとイワシ
422,国語（慣用句）,choice,手紙を出したりメッセージを送ったりしたきり返事がなにも返ってこない寂しい状態のことをたとえた言葉は何？,梨のつぶて（なしのつぶて）,リンゴのナゲキ,ブドウのシズク,ミカンのアワ
423,国語（慣用句）,choice,何をアドバイスしてもまったく効果がなく右の耳から左の耳へ聞き流されてしまう様子を動物にたとえて何という？,馬の耳に念仏（うまのみみにねんぶつ）,豚に真珠,猫に小判,犬に論語
424,国語（慣用句）,choice,価値のわからない人にいくら高級なゲームやお宝をあげても意味がないという有名なことわざは何？,猫に小判（あるいは豚に真珠）,犬に論語,馬の耳に念仏,雀の涙
425,国語（慣用句）,choice,自分のお家の庭やお部屋の広さがもの凄く狭い（ちいさい）ことを身近な動物の体の一部にたとえて何という？,猫の額（ねこのひたい）,雀の涙,蟻の穴,犬の足跡
426,国語（慣用句）,choice,もらえるお小遣いやおやつの量がほんの少ししかなくてがっかりな様子を小さな鳥にたとえて何という？,雀の涙（すずめのなみだ）,猫の額,蚊の汗,象の鼻水
427,国語（慣用句）,choice,誰かのうわさ話をしているとなぜかその本人がちょうどグッドタイミングで部屋に入ってくる不思議な現象を表す言葉は何？,噂をすれば影が差す,壁に耳あり障子に目あり,灯台下暗し,類は友を呼ぶ
428,国語（慣用句）,choice,のんびり寝そべっているだけで思いがけないラッキーな幸運や美味しいプレゼントが口の中に降ってくるようなことわざは何？,棚からぼた餅（たなぼた）,海老で鯛を釣る,鬼に金棒,瓢箪から駒
429,国語（慣用句）,choice,探している大切な消しゴムがじつは自分の座っている机のすぐ真下や目の前に落ちていたというような灯台の足元と同じ状態をたとえた言葉は何？,灯台下暗し（とうだいもとくらし）,井の中の蛙,一寸先は闇,藪から棒
430,国語（慣用句）,choice,テストの前にしっかりと宿題をやって準備しておけば本番で何も怖くないというような事前の準備が安心を生むことを表す言葉は何？,備えあれば憂いなし（そなえあればうれいなし）,急がば回れ,果報は寝て待て,失敗は成功のもと
431,国語（ことわざ）,choice,どんなに遠くて長い合格への道のりであってもまずは目の前の小さな一歩を踏み出すことから始まるという意味の有名な言葉は何？,千里の道も一歩から,百里の道も一歩から,急がば回れ,塵も積もれば山となる
432,国語（ことわざ）,choice,小さな消しゴムのカスやチリであっても毎日毎日たくさん集めるといつかは巨大な山になるという意味のコツコツ頑張る言葉は何？,塵（ちり）も積もれば山となる,千里の道も一歩から,雨降って地固まる,石の上にも三年
433,国語（ことわざ）,choice,ケンカをしたりトラブルが起きたあとのほうがかえって前よりも仲良くなったりチームがまとまったりするという天気の変化にたとえた言葉は何？,雨降って地固まる,災い転じて福となす,負けるが勝ち,三人寄れば文殊の知恵
434,国語（ことわざ）,choice,普通の人であっても３人が集まって真面目にアイデアを出し合えば知恵の神様（文殊様）のような素晴らしい知恵が生まれるという意味の言葉は何？,三人寄れば文殊の知恵,一石二鳥,十人十色,百聞は一見にしかず
435,国語（ことわざ）,choice,人から何回もうわさ話や説明を聞くよりもたった１回だけ自分の目で直接確かめたほうがよくわかるという意味の数字の百が入った言葉は何？,百聞は一見にしかず（ひゃくぶんはいっけんにしかず）,三人寄れば文殊の知恵,棚からぼた餅,論より証拠
436,国語（漢字）,choice,４年生で習う難しい漢字新潟県の潟という漢字。右側の上の部分の四角の中の正しい形はどれ？,真ん中が縦にパカッと離れた「臼」の形,ただの「白」,太陽の「日」,目の「目」
437,国語（漢字）,choice,４年生で習う難しい漢字愛媛県の媛という漢字。右側の上の部分はカタカナのある文字にそっくりな形をしています。何に見える？,カタカナの「ツ」の形,カタカナの「ク」の形,カタカナの「ハ」の形,カタカナの「ワ」の形
438,国語（漢字）,choice,４年生で習う難しい漢字岐阜県の阜（ぎふのふ・おか）という漢字。この漢字をそのまま書くときの正しい総画数は何画？,８画,７画,９画,６画
439,国語（漢字）,choice,漢字のパーツ（部首）の名前。漢字の上側に家（うかんむり）や草（くさかんむり）のように帽子のように乗っかっているパーツのことを何という？,かんむり（冠）,あし（足）,へん（辺）,つくり
440,国語（漢字）,choice,漢字のパーツ（部首）の名前。漢字の下側に心（こころ）やあし（ひとあし）のように土台のようにくっついているパーツのことを何という？,あし（足）,かんむり（冠）,たれ,かまえ
