id,category,type,question,answer,dummy1,dummy2,dummy3,explanation,
351,社会（都道府県）,choice,県庁所在地が宇都宮市である県。この街が静岡県浜松市と毎年日本一の消費量を激しく競い合っている大人気のご当地グルメは何？,ギョーザ,たこ焼き,ハンバーグ,カレーライス,街中にギョーザの像があるくらいギョーザだらけの街！タレにラー油をたっぷりつけて食べるのが宇都宮流だよ,
352,社会（都道府県）,choice,漢字で書くさいたま市について小4の社会のテストで絶対に引っかかってはいけない有名な罠はどれ？,県名は漢字だけど市名はひらがな,県名も市名もひらがな,県名も市名も漢字,じつはカタカナ,県庁や大きな駅がある中心地は『さいたま市』とひらがなで書くのが大正解！テストの超定番のひっかけ罠だよ,
353,社会（地理）,choice,日本で一番大きい湖である琵琶湖の面積はこれがある滋賀県の面積のどれくらいを占めている？,約６分の１,約半分,約９割,ほぼ１００％,地図で見ると県全体の半分以上が湖に見えるけれど実はたったの6分の1！周りには広い盆地やお米の田んぼがあるよ,
354,社会（地理）,choice,日本一面積が狭い香川県は日本一広い北海道のどれくらいの大きさ？北海道に追いつくには何倍の広さが必要？,約４５分の一（約45倍必要）,約２分の一,約１０分の一,約５０0分の一,北海道はとにかくデカい！香川県が45個集まってようやく北海道1個分と同じ広さになるんだよ,
355,社会（地理）,choice,日本で一番住んでいる人（人口）が少なくて砂丘や梨がとっても有名な都道府県はどこ？,鳥取県,島根県,高知県,徳島県,人は少ないけれど日本一大きな鳥取砂丘があるよ！スタバをもじった『すなば珈琲』が有名になったこともあるんだ,
356,社会（地理）,choice,大昔の人がこの川は暴れると関東の暴れん坊太郎のように恐ろしいと呼んだ日本で一番流域面積が広い坂東太郎の別名を持つ川は何？,利根川,信濃川,筑後川,多摩川,坂東（関東）の太郎という意味だよ！上流にあるダムから東京や千葉のみんなが使う大切な水が送られてくるんだ,
357,社会（地理）,choice,大昔の人が筑紫（九州）の次郎と呼んでおそれた九州地方を流れる大暴れすることで有名な川の名前は何？,筑後川,利根川,信濃川,荒川,筑紫（九州）の次郎という意味だよ！暴れ川だけど周りの田んぼにたくさん水を分けてくれる恵みの川でもあるんだ,
358,社会（地理）,choice,大昔の人が四国の三郎と呼んでおそれた四国地方を流れる大暴れすることで有名な吉野川の別名は何？,四国三郎,坂東太郎,筑紫次郎,浪速四郎,四国の三郎という意味だよ！これで日本三大暴れ川の『太郎・次郎・三郎』が全部そろったね！,
359,社会（地理）,choice,世界で一番深い海（マリアナ海溝・深さ約1万メートル）の底に日本一高い富士山を沈めるとどうなる？,富士山がすっぽり沈んでもまだ水深が深い,山のてっぺんが少し海から出る,ちょうどてっぺんが水面と同じになる,富士山のほうが高いから沈まない,世界一深いマリアナ海溝は富士山を3つ積み上げてもまだ足りないくらい深い！海の底は真っ暗で不思議な世界だよ,
360,社会（地理）,choice,関東地方や関西地方に使われている関という漢字。これって一体なんのこと？,大昔に作られた通行止めの門（関所）,新幹線の駅の名前,国境の線のこと,関取り（お相撲さん）のこと,大昔の関所（箱根の関など）より東側が『関東』で西側が『関西』だよ！検問所が地方の名前の区切りになったんだ,
361,社会（地理）,choice,世界自然遺産に選ばれた青森県と秋田県にまたがる白神山地。ここに広がっている世界最大級の貴重な森の木は何？,ブナ,スギ,ヒノキ,松,ブナの森にはたくさんの実がなるからクマや珍しい鳥などたくさんの生き物たちが仲良く暮らせるんだ,
362,社会（地理）,choice,長野県や岐阜県のようにまわりをぐるっと他の県に囲まれていて海に面していない（海がない）県は日本全国に全部でいくつある？,８つ,３つ,５つ,12,海がない県を『内陸県（ないりくけん）』というよ！海はないけれど川がキレイで川魚や美味しい山の幸がたくさんある,
363,社会（地図記号）,choice,地図記号のヤシの木みたいなマーク（丸から３本の毛が生えたような形）。これがある場所には一体何が植えられている？,果樹園（リンゴやミカンなど）,熱帯雨林（ジャングル）,ただの雑草（空き地）,遊園地の木,リンゴやミカンやブドウの畑だよ！ヤシの木じゃなくて『立派な実がなったお皿の上の果物』をデザインした記号んだ,
364,社会（地図記号）,choice,地図記号のそろばんの玉や丸の中にポチがあるマーク。ここから掘り出されるお家や車の大切なエネルギー資源は何？,油田（石油）,温泉,火山,炭鉱,日本には少ないけれど新潟県や秋田県には今も原油が取れる油田のマークが地図に載っているよ,
365,社会（地図記号）,choice,地図記号の裁判所のマーク。これは大昔の裁判所の前に立てられていた正義を表すある植物の看板の形がもとになっています。何の植物？,ギザギザのハスの葉,トゲトゲのサボテン,立派な松の木,大きなひまわり,悪いことを裁く場所だから大昔の中国で『正義の裁判』を意味していたハスの花（の葉）をマークにしたんだよ,
366,社会（地図記号）,choice,地図記号の工場のマーク。これは工場でよく使われているある部品をデザインしたものです。何の部品？,歯車（はぐるま）,ネジ,煙突,ベルトコンベア,機械の中で噛み合ってグルグル回る『歯車』の形だよ！煙突の煙マークと間違えやすいから気をつけてね,
367,社会（地図記号）,choice,地図記号で丸の中に×が書いてあるおなじみのマーク。お巡りさんがいて街の安全を守ってくれるここはどこ？,交番（こうばん）,立ち入り禁止の場所,ゴミ集積所,宝物が埋まっている場所,お巡りさんが使う『警棒（けいぼう）』をバツの形に交差させたデザインんだ！警察署はまた別のマークだよ,
368,社会（生活）,choice,川から汲んだ水をそのまま飲むとお腹をこわすので水道局の浄水場である薬を使ってバイキンをやっつけています。プールのような匂いがするその薬は何？,塩素（えんそ）,お砂糖,お塩,消毒用アルコール,塩素のおかげで水道の蛇口から出た水をそのままゴクゴク飲めるんだ！これって世界でもすごく珍しいことなんだよ,
369,社会（生活）,choice,お家や学校から出たゴミを燃やす清掃工場。ゴミを燃やしたときに出るものすごい熱（エネルギー）はいまは無駄にせず何に使われている？,電気を作ったり温水プールを温める,空に逃がして雨雲を作る,宇宙にロケットで飛ばす,工場の周りをサウナにする,ゴミを燃やす熱で巨大なタービンを回して発電しているよ！エコで賢いハイテクな秘密基地なんだ,
370,社会（生活）,choice,ゴミを減らすための大切な合言葉３Ｒ。ゴミを減らす（Reduce）繰り返し使う（Reuse）と資源に戻してもう一度使うあと一つは何？,リサイクル（Recycle）,リラックス（Relax）,リフレッシュ（Refresh）,リトライ（Retry）,ペットボトルを洗って新しい服やフリースに生まれ変わらせるのがリサイクル！お家でも分別をがんばろう！,
371,理科（天体）,choice,夜空に光る赤っぽい色の星と青白い色の星。じつは星としての温度（熱さ）がもの凄く高くて激しく燃えているのはどっちの色？,青白い色の星,赤っぽい色の星,どっちも同じ温度,黄色い星のほうが熱い,ガスコンロの青い炎と同じ！星は温度が高くなるほど青白くなって温度が低め（といっても数千度）だと赤くなるよ,
372,理科（天体）,choice,夜空の星たちは太陽と同じように東から西へ動いて見えます。時計の針のように1時間経つと何度ずつ動いている？（1周360度を24時間で割ってね）,約１５度ずつ,約１度ずつ,約９０度ずつ,まったく動かない,星は24時間かけて360度グルッとまわるから 360割る24を計算すると『1時間に15度』動くことがわかるよ,
373,理科（天体）,choice,夜空の星たちが北極星を中心に時間をかけて時計と反対回りにぐるぐると回って見えるのはなぜ？,地球がコマのように自分で1日に1回回っているから,星たちが猛スピードで地球の周りを走っているから,宇宙全体が回っているから,太陽が引っ張っているから,星が動いているんじゃなくて自分たちが乗っている地球のほうが回っているんだ（自転というよ）！,
374,理科（天体）,choice,冬の星座の王様オリオン座の真ん中に美しく並んでいる三つ星。この３つの星の並び方は時間を置くとどうなる？,絶対に変わらない（星座の形はそのまま動く）,1時間ごとにバラバラになる,朝になると合体して1つになる,季節によって四角形になる,星の並び方（星座の形）は絶対に崩れないまま全体が東から西へ動くよ！だからずっとオリオンの形なんだ,
375,理科（天体）,choice,北の空見えるカシオペヤ座のＷの形。もし夜空を見上げる時間が遅くなるとこの形はどのように回転して見える？,逆さまになってＭの形に見える,文字が横に伸びてＶの形になる,星の数が１０個に増える,星が線になって消えてなくなる Ferguson,北極星を中心にして大きな時計の針みたいに回るから夜遅くなるとひっくり返って『Ｍ』の形に見えるんだよ,
376,理科（天体）,choice,太陽の光が一番強くて一番高くまで上がるのはお昼の12時（南中）。なのに1日のうちで気温が一番高くなるのが午後2時ごろなのはなぜ？,太陽に温められた地面の熱が空気に伝わるまでに時間がかかるから,太陽が午後２時に一番本気を出すから,お昼ごはんで日本中の人が火を使うから,時計の進み方が遅くなるから,光を浴びた地面がまずアツアツになってその熱が空気の温度を上げるまでに2時間くらいタイムラグがあるんだ,
377,理科（天体）,choice,夕方西の空に低く見える細い三日月。この三日月の光っている側のとがった２つの角はどっちの方角を向いている？,東の方角,西の方角,真上の方向,真下の方向,太陽が沈んだ西の空から光を浴びているからとがった角は東（太陽と反対側）を向いて沈んでいくよ,
378,理科（天体）,choice,お月様が満月の日。太陽が西の空にちょうど沈むその瞬間満月はどの方角の空から昇ってくる？,東の空,西の空,南の空,北の空,満月のときは太陽と月が地球をはさんで真反対にいるよ だから太陽が西に沈むと同時に東から満月が昇るんだ,
379,理科（天体）,choice,お月様が毎日すこしずつ形を変えて三日月になったり満月になったり見えるのはなぜ？,月が太陽の光を浴びながら地球のまわりを回っているから,月が自分でライトの明るさを変えているから,地球の影が毎日月を隠しているから,宇宙人が夜中に食べているから,月は自分で光っていなくて太陽の光を反射しているだけ！地球から見て光が当たっている向きが変わるからなんだ,
380,理科（天体）,choice,北の空でほとんど動かず昔の旅人が方位磁石代わりに使っていた北極星。じつは明るさは何等星？,２等星（意外と２番目の明るさグループ）,１等星（一番明るいグループ）,６等星（ギリギリ見える暗い星）,目で見えないくらい暗い,一番目立つ星かと思いきや実は普通の2等星！周りに明るい星がないから見つけやすいラッキーな星なんだ,
381,理科（動植物）,choice,理科の授業で育てるヘチマ。やがて黄色いお花が咲きますが大きくて長い実ができるのはどっちのお花の下側？,めしべがある「めばな」,おしべがある「おばな」,どっちの花でも実ができる,花が咲き終わったツルの途中,めばなの下側には咲いたときからすでにちっちゃいミニヘチマ（子房）がついていてそれが大きくなるんだよ,
382,理科（動植物）,choice,ヘチマのお花にやってくるミツバチやチョウ。虫たちは甘い蜜をもらう代わりにお花のためにどんな大切なことをしてあげている？,おばなの花粉をめばなのめしべに運んでいる（受粉）,お花の周りの雑草をむしっている,花びらをきれいに掃除している,お花を敵のイモムシから守って戦っている,虫の体に花粉がつくことでお花は子供（タネ）を作ることができるよ 植物と虫のナイスなチームワークだね,
383,理科（動植物）,choice,カブトムシやチョウなど昆虫の足は全部で６本。この６本の足は体の３つのパーツ（頭・胸・腹）のどこから生えている？,胸（むね）,頭（あたま）,お腹（おなか）,お尻（おしり）,すべての昆虫の足は絶対に『胸』から6本生えているよ！お腹から生えているように見えても胸なんだ,
384,理科（動植物）,choice,植木鉢をひっくり返すと出てくるダンゴムシやクモ。理科のテストの分類で昆虫の仲間に入れてもいい？,足の数が６本ではないので昆虫ではない,エビの仲間だから昆虫でいい,虫カゴで飼えるものはすべて昆虫でいい,頭と胸とお腹に分かれているから昆虫でいい,ダンゴムシは足が14本クモは8本！昆虫の絶対ルールは『足が6本で体が頭・胸・腹に分かれていること』だよ,
385,理科（動植物）,choice,アブラセミやクワガタなどカチカチの殻に覆われた夏の昆虫たち。彼らの骨はどこにある？,体の外側の硬い殻が骨の代わりになっている（外骨格）,人間と同じように体の中に白い骨のガイコツがある,じつは骨も殻もまったくないブヨブヨの体,足の節（ふし）の中にだけ小さな骨がある,昆虫は体の中に骨がない代わりに外側のスーツが骨みたいに体を支えているよ ロボットの装甲みたいだね！,
386,理科（動植物）,choice,春になってあたたかくなると植物の種が芽を出します。種が芽を出すために絶対に必要ないものはどれ？,太陽の光（じつは土の中だからいらない）,水,空気（酸素）,まわりのあたたかさ（温度）,タネは土の中に埋まっていて真っ暗だから芽を出すときには光はいらないんだ！葉っぱが出てから光が必要になるよ,
387,理科（動植物）,choice,カエルの大人の心臓とオタマジャクシの子供の心臓。理科の教科書にのっている魚と同じ１心房１心室という部屋の数が少ないシンプルな作りなのはどっち？,オタマジャクシ,カエル,どっちも人間とまったく同じ部屋の数,じつは両方とも心臓がない,オタマジャクシはエラ呼吸の魚と同じ作りだけど 大人になって肺呼吸になると２心房１心室にパワーアップするよ,
388,理科（動植物）,choice,秋になって寒くなるとサクラやイチョウの葉っぱが赤や黄色になって地面に落ちます。木が葉っぱを落としてしまう本当の理由は何？,冬の間無駄な水分が葉から逃げて木が凍らないようにするため,葉っぱが重くて枝が折れてしまうから,木が眠くなって力を抜いてしまうから,新しい葉っぱとジャンケンをして負けたから,冬の冷たい乾燥した風で木全体の水分がカラカラにならないように自分,
541,社会（都道府県）,choice,東北地方の秋田県で大人気のご当地グルメで温かいスープの中に手でちぎった平たいお餅のようなお米を入れて食べる料理は何？,きりたんぽ,ほうとう,ゴーヤチャンプルー,わんこそば,潰したご飯を杉の棒に巻き付けて焼いたのが始まりだよ ダンジョンの焚き火で焼く料理にぴったりだね,
542,社会（都道府県）,choice,中部地方の山梨県に伝わる郷土料理で平たい太めの下ごしらえした麺をカボチャやお野菜と一緒に味噌仕立てのスープで煮込む料理は何？,ほうとう,きりたんぽ,沖縄そば,ちゃんぽん,戦国時代の武将である武田信玄も戦の前のエネルギー補給に食べていたというとってもパワフルな食べ物だよ,
543,社会（都道府県）,choice,九州地方の長崎県で生まれた名物料理で豚肉やエビにたっぷりのお野菜を太い麺と一緒に炒めてスープで煮込む料理は何？,ちゃんぽん,ほうとう,冷やし中華,ソーキそば,明治時代に中国から留学してきた学生たちにお腹いっぱい栄養をつけてもらうために作られたのが始まりなんだよ,
544,社会（都道府県）,choice,沖縄県を代表するゴーヤチャンプルーという料理。このチャンプルーという言葉は現地の言葉で一体どういう意味？,混ぜこぜにする（炒める）,とても苦い,おじいちゃんのごちそう,海の神様へのプレゼント,豆腐やお肉やお野菜を『混ぜこぜにして炒める』という意味だよ ゲームのアイテム合成のヒントにも使えそうだね,
545,社会（都道府県）,choice,岩手県の名物で小さな木のお椀に一口ぶんの麺が次々と放り込まれてお腹いっぱいになるまで戦い続けるお蕎麦は何？,わんこそば,おそ松そば,忍者そば,富士山そば,給仕さんとの『じゃんじゃん！』という掛け声に合わせて食べるよ 100杯以上食べると記念の手形がもらえるんだ,
546,社会（都道府県）,choice,県庁所在地が松山市である愛媛県。この県が日本一の生産量を目指して競っているコタツの上に欠かせない冬の大人気フルーツは何？,みかん,リンゴ,バナナ,メロン,ミカンの皮をむくギザギザのむき方を『愛媛むき』というよ！ジュースが出る蛇口が本当にあるウワサの県なんだ,
547,社会（都道府県）,choice,青森県が生産量日本一を誇る大人気フルーツ。世界中で愛されていて丸くて赤くてかじるとシャキッとする果物は何？,リンゴ,みかん,スイカ,パイナップル,涼しい気候がリンゴ作りにぴったりなんだ！パソコンのアップル社のマークの元になった果物としても有名だね,
548,社会（都道府県）,choice,北海道の形。右上のほうに長くて斜めにツンと尖った知床半島がありますがその先に見える島々のことを何という？,北方領土（ほっぽうりょうど）,小笠原諸島,南西諸島,ハワイ諸島,日本固有の領土だけれど今はロシアが占領している場所だよ 社会のテストで位置がよく狙われるから地図を見よう,
549,社会（都道府県）,choice,近畿地方の兵庫県にある淡路島（あわじしま）。この大きな島は瀬戸大橋ではなく何という世界一長い吊り橋で神戸市と繋がっている？,明石海峡大橋（あかしかいきょう）,横浜ベイブリッジ,レインボーブリッジ,瀬戸大橋,夜になるとイルミネーションが虹色に光ってもの凄くキレイなんだよ！淡路島はタマネギが日本一甘くて美味しい島なんだ,
550,社会（都道府県）,choice,日本地図の真ん中にある琵琶湖。この巨大な湖の水は滋賀県だけでなくお隣のどこの都道府県の人たちの大切な飲み水になっている？,京都府と大阪府,東京都と神奈川県,福岡県と佐賀県,北海道と青森県,滋賀県が『琵琶湖の水を止めるぞ！』と言うとお隣の京都や大阪の人は水が飲めなくなっちゃうという定番のジョークがあるよ,
551,社会（地理）,choice,日本の一番南にある沖ノ鳥島（おきのとりしま）。まわりの広い海を守るために島が波で削られて消えないよう国が何をしている？,コンクリートの護岸とチタンのネットで丸ごと囲んでいる,大きな傘を立てている,毎日泥を塗っている,まわりに防波堤の木を植えている,島が消えると日本の領海（海のなわばり）が減っちゃうから何百億円もかけてサイボーグみたいにガチガチに守っているよ,
552,社会（地理）,choice,日本の一番東にある島で一般の人は立ち入ることができない朝日が日本で一番最初に昇るレアな島はどこ？,南鳥島（みなみとりしま）,沖ノ鳥島,択捉島,国後島,ここは日本で唯一『太平洋プレート』という海の岩盤の上にポツンと乗っかっているサンゴ礁でできた超絶レアな島なんだ,
553,社会（地理）,choice,日本地図の西の端っこ。長崎県よりもさらに西にあり台湾のすぐ近くにある一般の人が住んでいる日本最西端の島はどこ？,与那国島（よなぐにじま）,対馬,種子島,淡路島,お天気がいい日には台湾の山が肉眼で見えるくらい近いよ！日本で一番最後に夕日が沈むロマンチックな島なんだ,
554,社会（地理）,choice,北海道のさらに北にあり日本が認めている日本の領土の中で一番北の端っこにある大きな島はどれ？,択捉島（えとろふとう）,国後島,色丹島,歯舞群島,漢字がとっても難しいけれど『えとろふ』と読むよ！これで日本の東西南北の端っこの島が全部パズルみたいに揃ったね,
555,社会（地理）,choice,日本のまわりをぐるっと囲んでいる海。西側にある日本と韓国やロシアのあいだにある広い海の正しい名前は何？,日本海（にほんかい）,太平洋,東シナ海,オホーツク海,冬になると冷たい風がこの海を渡ってきて新潟県や長野県に世界一レベルのドカ雪を降らせる原因になる海なんだ,
556,社会（地理）,choice,日本のまわりを囲む海。東側と南側に果てしなく広がっていてアメリカまで続いている世界最大の巨大な海の正しい名前は何？,太平洋（たいへいやー）,日本海,オホーツク海,東シナ海,地球の表面の3分の1を占める巨大な海！夏になるとこの海の上で台風が生まれて日本に向かって突撃してくるよ,
557,社会（地理）,choice,北海道の北側に広がっていて冬になるとどこまでも白い氷の塊（流氷）がプカプカ浮いて流れてくる海の正しい名前は何？,オホーツク海,日本海,太平洋,東シナ海,シベリアの凍った川の水が海に流れて凍るから流氷ができるんだ！クリオネという海の天使が見られる不思議な海だよ,
558,社会（地理）,choice,沖縄県や九州地方の西側に広がっていて中国の方へと繋がっている温かくてキレイな海の正しい名前は何？,東シナ海,太平洋,日本海,オホーツク海,南からの温かい海流（黒潮）が流れているよ！キレイなお魚やサンゴ礁がたくさんある南国の海なんだ,
559,社会（地理）,choice,日本列島の太平洋側を南から北へ向かって流れているお魚が大量に取れる世界最大級の温かい海流（暖流）の別名は何？,黒潮（くろしお）,親潮,対馬海流,リマン海流,海の色が遠くから見ると深い青（黒っぽく）見えるから黒潮というよ！カツオやマグロがこの流れに乗って旅をするんだ,
560,社会（地理）,choice,千島列島の方から北海道の東側を通って南へ下りてくる冷たいけれどプランクトンが日本一ギザギザ入った海の川（寒流）の名前は何？,親潮（おやしお）,黒潮,対馬海流,日本海流,生き物を育てる栄養がたっぷり入っていて魚たちを育てる『親のような海』だから親潮というんだよ,
561,社会（地理）,choice,日本の暖流（黒潮）と寒流（親潮）がぶつかり合ってプランクトンとお魚が無限に集まる世界有数の漁場のことを何という？,潮目（しおめ）または潮境,海の駅,津軽海峡,海の境界線,海の温度が急に変わる場所で魚たちのハイウェイの交差点！ここに行けば高級な魚がたくさん釣れるボーナスエリアだよ,
562,社会（地理）,choice,平らな土地（平野）のなかで川が運んできた泥や砂がたまってできた農業やお米作りに最高なサラサラした土地の形を何という？,沖積平野（ちゅうせきへいや）,隆起台地,カルスト台地,砂漠平野,小4社会のちょっと難しいキーワード！日本の大都市や広い水田はほとんどこの平野の上に作られているんだ,
563,社会（地図記号）,choice,地図記号で丸の中に点々が３つ入っているマーク（ニュースのブドウの粒みたいな形）。ここには何が生えている？,茶畑（お茶の木）,ブドウ畑,お花畑,タバコ畑,静岡県や京都府の宇治市にたくさんあるお茶の木の畑だよ！お茶の葉っぱを上から見たときの形をデザインしたんだ,
564,社会（地図記号）,choice,地図記号で鳥居（とりい）の形をした日本の伝統的なマーク。ここに行くと一体何がある？,神社（じんじゃ）,お寺,お墓,キリスト教会,神様が住んでいる神社の入り口にある門の形だよ！お寺のマーク（まんじ）とテストで絶対に入れ替わる罠だよ,
565,社会（地図記号）,choice,地図記号のまんじマーク（漢字の万の古い形みたいなマーク）。ここに行くと一体何がある？,お寺（寺院）,神社,官公署,城跡,仏様がいてお坊さんがお経を読んでいるお寺だよ！神社の鳥居マークと絶対に間違えないようにセットで暗記しよう,
566,社会（地図記号）,choice,地図記号で丸い盾の中に縦のバツと横の棒が入っているようなカッコいいマーク。ここを守ってくれる場所はどこ？,消防署（しょうぼうしょ）,警察署,市役所,自衛隊駐屯地,大昔の火消し（消防士）が持っていた『まとい』というチームの目印の道具を上から見たデザインなんだよ,
567,社会（地図記号）,choice,地図記号でアルファベットのＹの中に縦棒が1本入ったマーク（または鳥の足跡のような形）。これは何の場所？,税務署（ぜいむしょ）,消防署,警察署,郵便局,お給料やお買い物にかかる税金の計算や相談をする場所だよ！大昔に税金を測っていた『ハカリの天秤』の形なんだ,
568,社会（生活）,choice,お家や学校の蛇口をひねると出てくる水道水。このお水は浄水場でキレイにされたあとどこを通って街の隅々まで配られている？,地面の下の水道管（配水管）,空の上の専用ホース,透明なプラスチックの箱,地下の川そのまま,道路の地面の下には網の目のように巨大なパイプ（水道管）が走っていてみんなの家までお水を届けているんだよ,
569,社会（生活）,choice,トイレやお風呂や台所から流した汚れたお水。これはそのまま川に流すと魚が全滅しちゃうのでどこの工場に集められる？,下水処理場（水再生センター）,浄水場,ごみ焼却場,発電所,バイキン（微生物）の力で汚い泥やお水をパクパク食べてもらって川に流せるくらいキレイに透明にするハイテク工場だよ,
570,社会（生活）,choice,お家から出るプラスチックのゴミ。そのまま燃やすと地球が温まるガスが出るので細かく砕いて新しいプラスチック製品にリメイクするエコ活動は何？,リサイクル,リデュース,リユース,リセット,ゴミを燃やさず資源として生まれ変わらせる大作戦！ペットボトルがみんなの着ているフリースに変身したりするんだ,
571,理科（天体）,choice,夜空の星。１等星よりもさらに明るい星をマイナスの数字で表すことがあります。全天で太陽の次に明るいマイナスの星は何？,おおいぬ座のシリウス,オリオン座のリゲル,こと座のベガ,さそり座のアンタレス,冬の夜空でダイヤモンドのように怪しく青白く光る超ウルトラ一等星！なんとマイナス1.5等星というバグ級の明るさだよ,
572,理科（天体）,choice,太陽が朝に東から昇って夕方に西へ沈む。この太陽の1日の動きのことを理科の言葉で何という？,日周運動（にっしゅううんどう）,公転運動,年周運動,自由落下,星の動きと同じ！太陽が動いているんじゃなくて自分たちがいる地球のほうがコマのように回っているからそう見えるんだ,
573,理科（天体）,choice,お月様が完全に丸い形になったときの名前は満月ですがではお月様が太陽の方向とかぶって真っ暗で見えなくなったときの名前は何？,新月（しんげつ）または朔,三日月,半月,十六夜,,
574,理科（天体）,choice,お月様の形。右側が半分だけプカプカ光っているマカロンのような形の月のことを理科の言葉で何という？,上弦の月（じょうげんのつき）,下弦の月,満月,新月,夕方に南の空に見えて夜中に西へ沈んでいくよ！弓の弦（ひも）が上を向いて沈むから上弦の月という名前なんだ,
575,理科（天体）,choice,お月様の形。左側が半分だけ光っていて夜中に東から昇ってきて朝に南の空に見える月のことを何という？,下弦の月（かげんのつき）,上弦の月,三日月,満月,上弦の月とは光っている側が真逆！朝に西へ沈んでいくときに弓の弦が下を向くから下弦の月というんだよ,
576,理科（天体）,choice,太陽の光が地面をギザギザに温めて1日の気温が変わります。では1日のうちで『気温が一番低くなる（一番寒い）』のはいつ頃？,日の出のすぐ直前（朝の5時〜6時頃）,真夜中の12時頃,夜の10時頃,夕方の6時頃,夜のあいだ中ずっと地面が宇宙に向かって熱を逃がし続ける（放射冷却）からお日様が出る直前が一番キンキンに冷えるんだ,
577,理科（天体）,choice,お月様は毎日どれくらいの時間ずつ遅れて空に昇ってくる？（だから毎日見える時間がズレていくんだよ）,約５０分ずつ遅くなる,約1時間早くなる,ちょうど2時間遅くなる,いつでも同じ時間,月が地球のまわりを毎日お散歩（公転）しているから 毎日約50分ずつ夜更かししないと次の月が見られなくなるんだ,
578,理科（天体）,choice,太陽を直接目で見ると失明する危険があって絶対にダメです！太陽の光の強さや黒いポチ（黒点）を安全に観察するための専用の板は何？,遮光板（しゃこうばん）または日食グラス,ただの下敷き,虫眼鏡,お父さんのサングラス,太陽の光を99.9%以上カットしてくれる特殊なフィルターの板だよ！これを使っても長い時間見つめちゃダメだからね,
579,理科（天体）,choice,夏の夜空を縦に流れる白い川のような無数の星の集まり。はくちょう座がその中で泳いでいるように見える光の帯は何？,天の川（あまのがわ）または銀河,流れ星の線,オーロラ,飛行機雲,実は自分たちがいる『天の川銀河』という巨大な星の渦巻きを内側から横に見た姿なんだ！何千億個もの星の集まりだよ,
580,理科（天体）,choice,北の夜空にある北斗七星（ひしゃくの形）。このひしゃくの先端の２つの星の長さを『５倍』まっすぐ伸ばした先にある星は何？,北極星（ほっきょくせい）,シリウス,ベテルギウス,ベガ,理科のテストの超絶定番の記述問題！迷子になったらひしゃくの頭を5倍伸ばせば真北を教えてくれる北極星に会えるよ,
