id,category,type,question,answer,dummy1,dummy2,dummy3,explanation
271,英検1級語彙,choice,The terms of the contract are completely ( ).,unambiguous,equivocal,obscure,vague,unambiguousは『明白な』『解釈の余地がない』意味です 契約書などで誤解が起きない状態を指します
272,英検1級語彙,choice,The old mansion had an ( ) atmosphere at night.,eerie,genial,welcoming,vibrant,eerieは『不気味な』『怪しげな』という意味です 夜の古いお屋敷のオカルトチックな雰囲気です
273,英検1級語彙,choice,He was disqualified for breaching the ( ) guidelines.,stringent,lax,lenient,"flexible""",stringentは規則などが『極めて厳しい』意味です 緩い（laxやlenient）の対義語として頻出です
274,英検1級語彙,choice,The project was cancelled due to ( ) hidden costs.,exorbitant,nominal,negligible,reasonable,exorbitantは値段や要求が『法外な』意味です 予算を遥かに超えた隠れコストが原因で中止になりました
275,英検1級語彙,choice,The sudden storm ( ) their weekend travel plans.,"disrupted	",facilitated,expedited,promoted,disruptedは予定などを『混乱させた』『台無しにした』意味です 嵐によって旅行が中止になる文脈です
276,英検1級語彙,choice,The detective’s ( ) nature helped him solve the case.,astute,gullible,naive,obtuse,astuteは『抜け目のない』『鋭い』意味です 騙されやすい（gullible）探偵では事件は解決できません
277,英検1級語彙,choice,The novel received ( ) reviews from top literary critics.,laudatory,derogatory,indifferent,hostile,laudatoryは『絶賛する』『褒め称える』意味です 批判的な（derogatory）の対義語になります
278,英検1級語彙,choice,The long-standing conflict finally reached a ( ).,stalemate,breakthrough,resolution,compromise,stalemateはチェス由来の言葉で『膠着状態』『行き詰まり』を意味します 国際紛争のニュースの定番語です
279,英検1級語彙,choice,The workers threatened to ( ) the production line if demands weren’t met.,sabotage,enhance,streamline,optimize,sabotageは意図的に『破壊工作をする』意味です 労働者がストライキなどで業務を妨害する文脈です
280,英検1級語彙,choice,Her ( ) financial management saved the company from bankruptcy.,prudent,reckless,negligent,extravagant,prudentは『慎重な』『賢明な』意味です 無謀な（reckless）経営とは真逆の堅実なスタイルです
281,英検1級語彙,choice,The instructions were too ( ) to be practical.,convoluted,straightforward,concise,coherent,convolutedは説明などが『複雑に入り組んだ』意味です 難解すぎて実用的ではない状態を表します
282,英検1級語彙,choice,The supreme court has the authority to ( ) the lower court's decision.,overturn,uphold,reaffirm,validate,overturnは判決を『覆す』意味です 最高裁判所が下級裁判所の判決をひっくり返す権限を指します
283,英検1級語彙,choice,His ( ) behavior made everyone feel uncomfortable at the party.,erratic,predictable,consistent,stable,erraticは行動が『一貫性のない』『奇抜な』意味です 予測不能な動きで周囲を困惑させる様子です
284,英検1級語彙,choice,The evidence was sufficient to ( ) the suspect from the crime.,exonerate,convict,indict,incriminate,exonerateは容疑を『晴らす』『無罪にする』意味です 有罪にする（convict）の対義語で重要です
285,英検1級語彙,choice,The new regulations will ( ) small business growth.,hamper,foster,stimulate,accelerate,hamperは進歩や成長を『阻害する』『邪魔する』意味です 規制が中小企業の足を引っ張る文脈です
286,英検1級語彙,choice,The dispute was settled by an impartial ( ).,arbitrator,instigator,adversary,litigant,arbitratorは中立な『仲裁人』意味です 揉め事を裁判外で解決する際に登場する法律用語です
287,英検1級語彙,choice,The view from the mountaintop was absolutely ( ).,sublime,mediocre,dreadful,mundane,sublimeは『荘厳な』『絶景の』意味です 凡庸な（mediocre）や日常的な（mundane）とは次元が違います
288,英検1級語彙,choice,The company tried to ( ) its image by launching a charity program.,burnish,tarnish,blemish,deface,burnishは金属を磨くことから転じてイメージを『磨き上げる』意味です チャリティで好感度アップを狙います
289,英検1級語彙,choice,She gave a ( ) nod to indicate her agreement.,curt,prolonged,elaborate,gracious,curtは会釈や返事が『そっけない』『短い』意味です 事務的にコクッと頷いた冷たいニュアンスです
290,英検1級語彙,choice,The policy had the ( ) effect of increasing unemployment.,paradoxical,consistent,predictable,logical,paradoxicalは『逆説的な』意味です 失業を減らすための政策が逆に増やしてしまった矛盾を指します
291,英検1級語彙,choice,He has an ( ) hatred for any kind of injustice.,inveterate,fleeting,superficial,transient,inveterateは習慣や感情が『根深い』意味です 一過性の（fleeting）ではない筋金入りの怒りを表します
292,英検1級語彙,choice,The unexpected news left her completely ( ).,dumbfounded,indifferent,composed,unmoved,dumbfoundedは驚きで『呆然とした』意味です ニュースを聞いて開いた口が塞がらない状態を指します
293,英検1級語彙,choice,The old custom has become completely ( ) in modern society.,obsolete,prevalent,trendy,ubiquitous,obsoleteは技術や習慣が『すっかり廃れた』意味です 現代では誰もやっていない古い時代の仕組みです
294,英検1級語彙,choice,The harsh criticism failed to ( ) her confidence.,daunt,bolster,enhance,invigorate,dauntは人の心を『ひるませる』意味です 厳しい批判を浴びても彼女の自信は1ミリも挫けませんでした
295,英検1級語彙,choice,The medication provides only ( ) relief from the symptoms.,transitory,perpetual,permanent,enduring,transitoryは『一時的な』意味です 薬の効果が長く続かずその場しのぎである状態を表します
296,英検1級語彙,choice,The factory was closed for failing to comply with ( ) safety standards.,rigorous,lax,negligent,lenient,rigorousは検査や基準が『極めて厳格な』意味です 命に関わる工場の安全基準によく使われる表現です
297,英検1級語彙,choice,The team made a ( ) effort to win the championship game.,valiant,feeble,half-hearted,cowardly,valiantは『勇敢な』意味です 負けはしたものの最後まで全力で戦った賞賛すべき努力を称える言葉です
298,英検1級語彙,choice,The boundary lines between the two properties are ( ).,ambiguous,distinct,clear-cut,explicit,ambiguousは境界や意味が『あいまいな』意味です 土地の境界線がハッキリせず揉めそうなニュアンスです
299,英検1級語彙,choice,The long speech served only to ( ) the audience.,weary,rejuvenate,captivate,enthral,wearyは人を『疲れさせる』意味です 校長先生の長い話に全員がぐったりしているような文脈です
300,英検1級語彙,choice,He is an ( ) reader who consumes three books a week.,voracious,indifferent,apathetic,casual,voraciousは食欲や知識欲が『むさぼるような』意味です 本をガツガツ大量に読み漁る読書家を指します
301,英検1級熟語,choice,The management decided to ( ) the old manufacturing process.,do away with,put up with,look look forward to,keep up with,do away withは制度や古い仕組みを『廃止する』意味です abolishの一言で言い換え可能です
302,英検1級熟語,choice,She had to ( ) her pride and apologize to her rival.,swallow,flaunt,boast,elevate,swallow ones prideで『プライドをぐっと飲み込む』という英語定番の比喩表現です 涙をのんで謝罪します
303,英検1級熟語,choice,The committee will ( ) the proposal before making a decision.,pore over,glance at,cast aside,shrug off,pore overは書類などを『熟読する』『穴があくほど調べる』意味です じっくり検証する文脈です
304,英検1級熟語,choice,He managed to ( ) the heavy workload despite the tight deadline.,cope with,give up on,lag behind,shy away from,cope withは大変な仕事やストレスを『うまく処理する』『対処する』意味です ビジネス頻出熟語です
305,英検1級熟語,choice,Don't let this great career opportunity ( ) through your fingers.,slip,gush,bounce,leap,slip through ones fingersで『指の間からスルリと抜け落ちる』意味です チャンスを逃す定番フレーズです
306,英検1級熟語,choice,The true meaning of the text was ( ) by the complex vocabulary.,obscured,illuminated,exposed,highlighted,obscuredは『曖昧にされた』『覆い隠された』意味です 難解な単語のせいで本質が見えなくなる文脈です
307,英検1級熟語,choice,The company will ( ) new security measures next Monday.,implement,repeal,cancel,abolish,implementは計画や新しいルールを『実行に移す』意味です システム開発や企業経営の超重要ワードです
308,英検1級熟語,choice,The two countries decided to ( ) diplomatic ties.,sever,strengthen,nurture,renew,severは関係を『バッサリ断ち切る』意味です 国交断絶という非常に重いニュースで使われる動詞です
309,英検1級熟語,choice,The virus can remain ( ) in the body for several years.,dormant,active,vibrant,volatile,dormantは火山やウイルスが『潜伏している』『休眠状態の』意味です 牙を剥くタイミングを待っています
310,英検1級熟語,choice,He was praised for his ( ) handling of the delicate situation.,tactful,clumsy,reckless,blunt,tactfulは『機転の利いた』『世渡り上手な』意味です 揉めそうな案件を綺麗にまとめた有能さを称えます
311,英検1級語彙,choice,The professor’s lecture was filled with ( ) academic jargon.,abstruse,lucid,accessible,simplistic,abstruseは学問などが『難解で専門的すぎる』意味です 一般人にはチンプンカンプンな講義を指します
312,英検1級語彙,choice,The legal battle completely ( ) the family's savings.,depleted,augmented,hoarded,preserved,depletedは資源や貯金を『使い果たして空にする』意味です 裁判費用で財産が底をついてしまう悲しい文脈です
313,英検1級語彙,choice,She is always ( ) in checking her financial reports.,meticulous,negligent,careless,hasty,meticulous is 『細部まで一分の隙もない』意味です 数字のミスを絶対に許さない完璧主義なチェックです
314,英検1級語彙,choice,The dictator tried to ( ) all forms of political dissent.,suppress,foster,encourage,instigate,suppressは反乱や反対意見を『力で抑圧する』意味です 独裁者が国民の声を封じ込めるお決まりの表現です
315,英検1級語彙,choice,The testimony helped to ( ) the validity of the contract.,substantiate,refute,disprove,contradict,substantiateは主張や契約を『具体的な証拠で立証する』意味です 証言によって契約が本物だと証明されます
316,英検1級語彙,choice,His ( ) remarks irritated everyone at the dinner table.,facetious,solemn,earnest,profound,facetiousは不適切な場面での『おふざけの』意味です 真面目なディナーの席で不謹慎な冗談を言った文脈です
317,英検1級語彙,choice,The storm caused ( ) damage to the coastal infrastructure.,extensive,minimal,negligible,nominal,extensiveは被害や範囲が『広範囲に及ぶ甚大な』意味です 沿岸部のインフラが壊滅的な打撃を受けた様子です
318,英検1級語彙,choice,The software update is designed to ( ) the system layout.,streamline,complicate,obstruct,hinder,streamlineは無駄を削って『業務を合理化・スリム化する』意味です アプリ開発の現場でも大活躍する単語です
319,英検1級語彙,choice,The novel details the ( ) rise and fall of the empire.,meteoric,gradual,sluggish,imperceptible,meteoricは流星（meteor）のように『一瞬で急上昇した』意味です 彗星のごとく現れて消えた帝国の歴史です
320,英検1級語彙,choice,She remains ( ) despite the numerous hardships she faced.,resilient,fragile,vulnerable,yielding,resilientは『折れない心を持った』『回復力のある』意味です どんな逆境からもバネのように立ち上がります
321,英検1級語彙,choice,The archeologist found an ( ) inscription on the stone wall.,enigmatic,obvious,explicit,transparent,enigmatic is 『謎に包まれた』『不可解な』意味です 古代の壁画に刻まれたミステリアスな暗号を指します
322,英検1級語彙,choice,The new manager's rules were seen as overly ( ).,draconian,lenient,benevolent,"permissive""",draconianは法律やルールが『あまりにも過酷な』意味です 古代ギリシャの過酷な法典が由来の超重要単語です
323,英検1級語彙,choice,The chemical spill poses an ( ) threat to the local river system.,imminent,remote,distant,unlikely,imminentは危険などが『目と鼻の先に迫った』意味です 化学物質の流出で川の生態系が大ピンチの文脈です
324,英検1級語彙,choice,The witness gave an ( ) account of the entire accident.,unequivocal,vague,ambiguous,evasive,unequivocalは『全く曖昧さのない明確な』意味です 目撃者が嘘偽りなく堂々と真実を語った様子です
325,英検1級語彙,choice,The dynamic marketing campaign ( ) the lagging sales.,invigorated,dampened,depressed,stifled,invigoratedは元気を『注入して活性化させる』意味です 低迷していた売上を天才的な広告で一気に V字回復させます
326,英検1級語彙,choice,The author's writing style is known for being extremely ( ).,verbose,succinct,wordy,rambling,verboseは文章が『無駄に言葉数が多くてクドい』意味です スッキリした（succinct）の対義語になります
327,英検1級語彙,choice,The unexpected merger ( ) the market monopoly.,disrupted,reinforced,stabilized,solidified,disruptedは既存の体制を『破壊して混乱させた』意味です 突然の企業合併で市場の独占状態が崩れ去りました
328,英検1級語彙,choice,The policy was criticized for being an ( ) waste of public funds.,egregious,nominal,justifiable,commendable,egregiousは過ちなどが『目も当てられないほど酷い』意味です 税金の無駄遣いに対する激しい非難です
329,英検1級語彙,choice,The board members reached a ( ) decision after hours of debate.,unanimous,divided,arbitrary,conflicting,unanimousは満場一致のという意味です 全員の意見がパーフェクトに1つにまとまった状態を指します
330,英検1級語彙,choice,The old factory was turned into a ( ) arts center.,vibrant,dilapidated,derelict,stagnant,vibrantは『活気あふれる』意味です 廃工場が若者で賑わうアートスポットに生まれ変わった素敵な文脈です
331,英検1級熟語,choice,The detective refused to ( ) any details of the active case.,divulge,conceal,withhold,suppress,divulgeは秘密を『外部に漏らす』意味です 捜査中の事件データを記者に絶対に話さない刑事の文脈です
332,英検1級熟語,choice,The peace talks helped to ( ) the immediate threat of war.,avert,provoke,trigger,accelerate,avertは危機や破滅を『未然に回避する』意味です 平和交渉によって戦争の勃発をギリギリで防ぎました
333,英検1級熟語,choice,His constant complaints began to ( ) his coworkers' patience.,erode,boost,enhance,cultivate,erodeは信頼や我慢を『少しずつ侵食して削り取る』意味です 毎日の愚痴のせいで職場の我慢が限界を迎えます
334,英検1級熟語,choice,The government decided to ( ) a special committee to investigate the issue.,appoint,dismiss,disband,abolish,appointは役職に『任命する』あるいは委員会を『設置する』意味です 調査のために国が動く文脈です
335,英検1級熟語,choice,The local industry began to ( ) after the major tax cuts. ,thrive,decline,perish,wither,thriveはビジネスや植物が『爆発的に繁栄する』意味です 大幅な減税のおかげで地元産業が息を吹き返しました
336,英検1級熟語,choice,She tried to ( ) her emotions during the difficult trial.,conceal,display,flaunt,manifest,編concealは感情や証拠を『完全に隠す』意味です 厳しい裁判の最中ポーカーフェイスを貫こうとしています
337,英検1級熟語,choice,The novel's plot was too ( ) for most casual readers.,intricate,simplistic,straightforward,plain,intricateは伏線や構造が『複雑に編み込まれた』意味です 難解すぎてライト層の読者が脱落してしまう小説です
338,英検1級熟語,choice,The heavy rain will ( ) the traffic flow on the highway.,impede,facilitate,expedite,assist,impedeは進行を『物理的に遅らせる』『妨害する』意味です 大雨のせいで高速道路が渋滞するお決まりの表現です
339,英検1級熟語,choice,The historical artifacts were preserved with ( ) care.,impeccable,negligent,shabby,faulty,impeccableは『非の打ち所がない完璧な』意味です 国宝級の歴史的遺物を厳重に保管する文脈です
340,英検1級熟語,choice,The main goal of the seminar is to ( ) cross-cultural understanding.,foster,hinder,suppress,stifle,fosterは能力や友好関係を『大切に育む』意味です 異文化理解を深めるためのポジティブなセミナーの目標です
