id,category,type,question,answer,dummy1,dummy2,dummy3,,
371,理科（天体）,choice,星の色が「赤っぽい色」の星と「青白い色」の星。じつは、星としての温度（熱さ）がもの凄く高いのはどっちの色？,青白い色の星,赤っぽい色の星,どっちも同じ温度,黄色い星のほうが熱い,,
372,理科（天体）,choice,夜空に見える星たちは、1時間経つと東から西へ何度ずつ動いて見える？（円が360度なのがヒント）,約１５度ずつ,約１度ずつ,約９０度ずつ,まったく動かない,,
373,理科（天体）,choice,北の夜空の星たちが、北極星を中心に時間をかけてぐるぐると回って見えるのはなぜ？,地球がコマのように自分で回っているから,星たちが猛スピードで地球の周りを走っているから,宇宙が回っているから,太陽が引っ張っているから,,
374,理科（天体）,choice,冬の星座の王様「オリオン座」の真ん中にきれいに並んでいる「三つ星」。じつはあの３つの星の並び方は、時間が経つとどうなる？,絶対に変わらない,1時間ごとにバラバラになる,朝になると合体する,季節によって四角形になる,,
375,理科（天体）,choice,カシオペヤ座の「Ｗ」の形。もし夜空を見上げる時間が遅くなると、この形はどうなって見える？,逆さまになって「Ｍ」の形に見える,文字が伸びて「Ｖ」の形になる,星の数が１０個に増える,消えてなくなる,,
376,理科（天体）,choice,太陽の光が一番強くて、一番高くまで上がる「お昼の12時」。なのに、1日の中で気温が一番高くなるのが「午後2時ごろ」なのはなぜ？,地面が温まってから空気が温まるまでに時間がかかるから,太陽が午後２時に休憩するから,お昼ごはんでみんなが火を使うから,時計の進み方が遅くなるから,,
377,理科（天体）,choice,夕方に見える細い「三日月（みかづき）」。この三日月の光っている側の「とがった角（つの）」は、どっちの方角を向いている？,東のほう,西のほう,真上のほう,真下のほう,,
378,理科（天体）,choice,満月（まんげつ）の日、太陽が西の空に沈むちょうどそのとき、満月はどの方角の空から昇ってくる？,東の空,西の空,南の空,北の空,,
379,理科（天体）,choice,月が毎日すこしずつ形を変えて（満ち欠けして）見えるのはなぜ？,月が太陽の光を浴びながら地球のまわりを回っているから,月が自分でライトの明るさを変えているから,地球の影が毎日月を隠しているから,宇宙人が食べているから,,
380,理科（天体）,choice,北の空でほとんど動かない「北極星」。じつは明るさは何等星？（一番明るい１等星かな？）,２等星（意外と２番目の明るさ）,１等星（一番明るい）,６等星（ギリギリ見える明るさ）,目で見えないくらい暗い,,
381,理科（動植物）,choice,ヘチマの黄色いお花。「実（み）」ができるのは、どっちのお花？,めしべがある「めばな」,おしべがある「おばな」,どっちの花でも実ができる,花が咲き終わったツルの途中,,
382,理科（動植物）,choice,ヘチマのお花にやってくるミツバチやチョウ。虫たちはハチミツをもらう代わりに、お花のために何をしてあげている？,おばなの花粉を、めばなのめしべに運んでいる,お花の周りの草むしりをしている,花びらをきれいに掃除している,お花を敵から守って戦っている,,
383,理科（動植物）,choice,昆虫（こんちゅう）の足は６本ですが、この６本の足は体のどこの部分（パーツ）から生えている？,胸（むね）,頭（あたま）,お腹（おなか）,お尻（おしり）,,
384,理科（動植物）,choice,ダンゴムシやクモは、理科のテストで「昆虫（こんちゅう）」の仲間に入れてもいい？,足の数が６本ではないから昆虫ではない,エビの仲間だから昆虫でいい,虫カゴで飼えるから昆虫でいい,頭と胸とお腹に分かれているから昆虫でいい,,
385,理科（動植物）,choice,アブラセミやカブトムシなど、夏の昆虫たちの「骨（ほね）」はどこにある？,体の外側が硬い殻（骨）になっている,人間と同じように体の中に白い骨がある,じつは骨も殻もまったくないブヨブヨの体,足の中にだけ骨がある,,
386,理科（動植物）,choice,春になると、あたたかくなって植物の種が「発芽（はつが）」します。種が芽を出すために『絶対に必要ないもの』はどれ？,太陽の光（じつは土の中だからいらない）,水,空気（酸素）,まわりのあたたかさ,,
387,理科（動植物）,choice,カエルの大人の心臓と、オタマジャクシの子供の心臓。理科の教科書にのっている、部屋の数が少ない（作りがシンプル）のはどっち？,オタマジャクシ（魚と同じ作り）,カエル（大人のほうが複雑）,どっちも人間とまったく同じ部屋の数,じつは心臓がない,,
388,理科（動植物）,choice,秋になって寒くなると、サクラやイチョウの葉っぱが赤や黄色になります。あの葉っぱたちが最後には地面に落ちてしまう（落葉）のはなぜ？,冬のあいだ、無駄な水分が逃げて凍らないようにするため,葉っぱが重くて枝が折れるから,木が眠くなって力を抜くから,新しい葉っぱとジャンケンで負けたから,,
389,理科（動植物）,choice,冬の間、ツバメやハクチョウなどの「渡り鳥」が、何千キロも旅をして別の国へ移動するのはなぜ？,季節に合わせて、エサがたくさんある暖かい場所へ行くため,世界旅行をして冒険するため,羽を鍛えるトレーニングのため,自分の生まれた故郷に帰って遊ぶため,,
390,理科（動植物）,choice,冬になると、カエルやヘビは土の中や水の底に潜って春まで眠ります（冬眠）。この眠っている間、彼らはどうしている？,息や心臓の動きをもの凄く遅くして、エサも食べずにじっとしている,土の中でこっそり夜中にエサを食べている,ただの寝坊だから起こせば元気に動く,じつは死んでしまって春に生き返る,,
391,理科（水の変化）,choice,コップに冷たいジュースと氷を入れると、コップの外側にたくさん水滴（水分の水滴）がつきます。あの水はどこからやってきた？,空気の中に隠れていた水蒸気が、冷やされて水に戻ったもの,コップに目に見えない小さな穴があいていて、中身がにじみ出たもの,氷の冷たさがコップを突き抜けて凍ったもの,部屋のダスト（ホコリ）が溶けたもの,,
392,理科（水の変化）,choice,お風呂に入ると、天井に水滴がたくさんついていて、ポタッと落ちてきて冷たい思いをします。あの水滴が天井につく原因は何？,お湯から出た目に見えない水蒸気が、冷たい天井にぶつかって水に戻ったから,お風呂の上の階の人の水道が漏れているから,天井の木が汗をかいているから,湯船のお湯がパチパチと跳ね上がったから,,
393,理科（水の変化）,choice,濡れた雑巾（ぞうきん）を机の上においておくと、次の日にはカラカラに乾いています。雑巾についていた水分（水）はどこに消えた？,目に見えない「水蒸気（すいじょうき）」になって、空気の中に飛び出していった,机が雑巾の水をゴクゴクと飲み込んだから,夜の間にバイキンが全部食べてくれたから,消えたのではなく、雑巾の奥に凝縮している,,
394,理科（水の変化）,choice,水をどんどん冷やしていくと、何度（℃）になったときに氷に変わり始める？,０度（℃）,マイナス１００度（℃）,１０度（℃）,１００度（℃）,,
395,理科（水の変化）,choice,水を火にかけて沸騰（ふっとう）させると、ブクブクと泡（あわ）がたくさん出てきます。あの泡の中身は一体なに？,水が気体になった「水蒸気」,ただの空気,火の煙（けむり）,お砂糖の成分,,
396,理科（水の変化）,choice,やかんの口から猛烈に出てくる「湯気（ゆげ）」。じつは、口のすぐ近くの「透明で見えない部分」と、少し離れた「白く見える部分」、本当の気体（水蒸気）はどっち？,口のすぐ近くの透明で見えない部分,少し離れた白いモクモクの部分,どっちも気体,どっちも液体,,
397,理科（水の変化）,choice,川の水や海の水を、太陽が毎日ギザギザと温めています。その結果、地球の水分はどうなっている？,蒸発して雲になり、雨になってまた川や海に戻る（ぐるぐる循環している）,どんどん宇宙に飛び出して、地球の水は減り続けている,海の底にどんどん溜まって、地球の地面は沈み続けている,お魚が全部吸い込んで綺麗にしている,,
398,算数（数）,choice,「１万」を「１万倍」すると「１億」になります。では、「１億」を「１万倍」すると、次の単位は何になる？,１兆（ちょう）,１兆万,１京（けい）,１億兆,,
399,算数（数）,choice,大きな数を数えるとき、日本の数字（一、万、億、兆）は、数字の「０（ゼロ）」が何個増えるたびに単位が変わるルール？,４個ずつ増えるたび（４桁ごと）,３個ずつ増えるたび（３桁ごと）,５個ずつ増えるたび（５桁ごと）,１個ずつ増えるたび,,
400,算数（数）,choice,英語の数字の数え方（Thousand, Million, Billion）は、数字の「０（ゼロ）」が何個増えるたびに単位が変わるルール？,３個ずつ増えるたび（３桁ごと、カンマの位置）,４個ずつ増えるたび（４桁ごと）,２個ずつ増えるたび,６個ずつ増えるたび
401,算数（単位）,choice,面積の単位の「１アール（a）」。これは、たてとよこが何メートルの正方形の広さと同じ？,たて１０ｍ、よこ１０ｍの正方形（教室くらいの広さ）,たて１ｍ、よこ１ｍの正方形,たて１００ｍ、よこ１００ｍの正方形,たて１ｋｍ、よこ１ｋｍの正方形,,
402,算数（単位）,choice,面積の単位の「１ヘクタール（ha）」。これは、たてとよこが何メートルの正方形の広さと同じ？（学校の校庭やサッカースタジアムくらい！）,たて１００ｍ、よこ１００ｍの正方形,たて１０ｍ、よこ１０ｍの正方形,たて１ｋｍ、よこ１ｋｍの正方形,たて１０００ｍ、よこ１０００ｍの正方形,,
403,算数（単位）,choice,「１ヘクタール（ha）」のなかに、「１アール（a）」の土地はいくつ詰め込むことができる？,１００個,１０個,1,０００個,10,０００個
404,算数（単位）,choice,「１平方キロメートル（km²）」という巨大な土地のなかに、「１ヘクタール（ha）」の土地はいくつ入る？,１００個,１０個,1,０００個,じつは１個だけ,
405,算数（単位）,choice,算数のテストのひっかけ問題！「たて２０ｍ、よこ５０ｍの長方形の畑があります。面積は何『アール（a）』ですか？」,１０アール（20×50=1000平方メートルだから）,１０００アール,１アール,１００アール,,
406,算数（単位）,choice,算数のひっかけ問題その２！「たて３００ｍ、よこ４００ｍの公園の面積は、何『ヘクタール（ha）』ですか？」,１２ヘクタール（300×400=120000平方メートルだから）,１２０ヘクタール,１２００ヘクタール,1.2ヘクタール,,
407,算数（図形）,choice,４つの角がすべて直角（９０度）で、向かい合う辺の長さが同じである、ノートやテレビの画面のような形を何という？,長方形,正方形,ひし形,台形,,
408,算数（図形）,choice,４つの辺の長さがすべて同じで、４つの角がすべて直角（９０度）という、完璧に正方形なサイコロの面のような形は何？,正方形,長方形,ひし形,平行四辺形,,
409,算数（図形）,choice,「平行四辺形（へいこうしへんけい）」の向かい合う２組の辺は、どれくらい平行になっている？,どれだけ長く伸ばしても絶対に交わらない,ちょっと伸ばすとぶつかる,斜め上の方で交わる,じつは平行ではない,,
410,算数（図形）,choice,四角形の形のなかで、向かい合う１組の辺「だけ」が平行になっている、怪獣の足やスカートのような形を何という？,台形（だいけい）,ひし形,平行四辺形,長方形,,
411,算数（図形）,choice,４つの辺の長さがすべて同じだけど、角の角度は直角ではない、トランプのダイヤのマークのような形を何という？,ひし形（ひしがた）,正方形,台形,平行四辺形,,
412,算数（図形）,choice,どんな形でも、すべての「四角形」の４つの角の角度を全部足算（合計）すると、絶対に何度になる？,３６０度,１８０度,９０度,５４０度,,
413,算数（図形）,choice,四角形の対角線（たいかくせん）のひっかけ！「ひし形」の２本の対角線は、真ん中でどのように交わっている？,垂直（９０度）に交わっている,斜めに交わっている,じつは交わらない,長さが絶対に同じになる,,
414,算数（計算）,choice,「２５×１４×４」という計算問題。左から順番に計算するよりも、先にどことどこを掛け算すると一瞬で暗算できる？,２５×４を先にやる（１００になるから）,１４×４を先にやる,２５×１４を先にやる,じつはどれをやっても同じくらい難しい,,
415,算数（計算）,choice,「１２５×７×８」という計算問題。算数が得意な子が、見た瞬間にニヤリとして最初に計算するペアはどっち？,１２５×８（１０００になるから）,７×８,１２５×７,右から順番にやる,,
416,算数（計算）,choice,わり算の「あまり」の絶対ルール！「▢÷６＝８あまり△」という問題のとき、あまりの△に入る数字で「絶対にありえない数字」はどれ？,７（わる数の６より大きくなったらダメ）,2,5,1,,
417,算数（計算）,choice,「割り算のたしかめ算」のやり方について、正しい数式の形はどれ？,わる数 × 商 ＋ あまり ＝ わられる数,商 ＋ あまり × わる数 ＝ わられる数,わられる数 ÷ あまり ＝ 商,わる数 ＋ 商 ＋ あまり ＝ わられる数,,
418,算数（そろばん）,choice,そろばんの上のほうにある「５だま（五玉）」。この珠（たま）を１個パチッと下に下げると、数字のいくつを表したことになる？,5,1,50,0,,
419,算数（そろばん）,choice,そろばんの下のほうに４個ずつ並んでいる「１だま（一玉）」。これを３個上に上げると、数字のいくつを表したことになる？,3,1,5,30,,
420,算数（そろばん）,choice,そろばんで、数字をきれいに全部消して「０」の状態にすることを何という？,ご破算（ごはさん）,リセット,クリア,全消し,,
421,国語（慣用句）,choice,あまりにも仲が悪くて、顔を合わせるとすぐにケンカを始めてしまう２人の関係を動物にたとえて何という？,犬猿（けんえん）の仲,猫とネズミの仲,キツネとタヌキの化かし合い,クジラとイワシの仲,,
422,国語（慣用句）,choice,出したきり、メッセージも返事もなにも返ってこない状態のことをたとえた言葉は何？,梨のつぶて（なしのつぶて）,リンゴのナゲキ,ブドウのシズク,ミカンのアワ,,
423,国語（慣用句）,choice,何を言ってもまったく効果がなく、聞き流されてしまう様子を動物にたとえて何という？,馬の耳に念仏（あるいは馬耳東風）,豚に真珠,猫に小判,犬に論語,,
424,国語（慣用句）,choice,価値のわからない人にいくら高級なものをあげても意味がない、という有名なことわざは何？,猫に小判（あるいは豚に真珠）,犬に論語,馬の耳に念仏,雀の涙,,
425,国語（慣用句）,choice,お家のなかや、部屋の広さがもの凄く狭い（ちいさい）ことを動物の体の一部にたとえて何という？,猫の額（ねこのひたい）,雀の涙,蟻の穴,犬の足跡,,
426,国語（慣用句）,choice,もらえるお金や、おやつの量がほんの少ししかなくて、がっかりな様子を動物にたとえて何という？,雀の涙（すずめのなみだ）,猫の額,蚊の汗,象の鼻水,,
427,国語（慣用句）,choice,人の噂（うわさ）話をしていると、なぜかその本人がちょうどタイミングよく部屋に入ってくる現象を何という？,噂をすれば影が差す,壁に耳あり障子に目あり,灯台下暗し,類は友を呼ぶ,,
428,国語（慣用句）,choice,歩いているだけで、思いがけないラッキーな幸運やプレゼントが降ってくるようなことわざは何？,棚からぼた餅（たなぼた）,海老で鯛を釣る,鬼に金棒,瓢箪から駒,,
429,国語（慣用句）,choice,探している大切な消しゴムが、じつは自分のペンケースのすぐ真下や目の前に隠れていた！というような状態をたとえた言葉は何？,灯台下暗し（とうだいもとくらし）,井の中の蛙,一寸先は闇,藪から棒,,
430,国語（慣用句）,choice,テストの前にしっかりと鉛筆を削って準備しておけば、本番で何も怖くない！というような安心の状態を表す言葉は何？,備えあれば憂いなし（そなえあればうれいなし）,急がば回れ,果報は寝て待て,失敗は成功のもと,,
431,国語（ことわざ）,choice,どんなに遠くて長い目標（合格への道など）であっても、まずは目の前の小さな一歩から始まる、という意味の有名な言葉は何？,千里の道も一歩から,百里の道も一歩から,急がば回れ,塵も積もれば山となる,,
432,国語（ことわざ）,choice,小さなゴミやチリであっても、毎日毎日たくさん集めて山のように積み上げると、いつかは巨大な山になるという意味の言葉は何？,塵も積もれば山となる（ちりつも）,千里の道も一歩から,雨降って地固まる,石の上にも三年,,
433,国語（ことわざ）,choice,ケンカをしたりトラブルが起きたあとのほうが、かえって前よりも仲良くなったりチームがまとまったりするという意味の言葉は何？,雨降って地固まる,災い転じて福となす,負けるが勝ち,三人寄れば文殊の知恵,,
434,国語（ことわざ）,choice,普通の人であっても、３人が集まって真面目にアイデアを出し合えば、素晴らしい知恵（神様のような知恵）が生まれるという意味の言葉は何？,三人寄れば文殊の知恵,一石二鳥,十人十色,百聞は一見にしかず,,
435,国語（ことわざ）,choice,人から何回も何回もうわさ話や説明を聞くよりも、たった１回だけ自分の目で直接見たほうがよくわかるという意味の言葉は何？,百聞は一見にしかず（ひゃくぶんはいっけんにしかず）,三人寄れば文殊の知恵,棚からぼた餅,論より証拠,,
436,国語（漢字）,choice,４年生で習う難しい漢字「新潟県」の「潟」という漢字。右側の上の部分の四角の中の正しい形はどれ？,真ん中が縦にパカッと離れた「臼」の形,ただの「白」,太陽の「日」,目の「目」,,
437,国語（漢字）,choice,４年生で習う難しい漢字「愛媛県」の「媛」という漢字。右側の上の部分は、カタカナの何に見える形をしている？,カタカナの「ツ」の形,カタカナの「ク」の形,カタカナの「ハ」の形,カタカナの「ワ」の形,,
438,国語（漢字）,choice,４年生で習う難しい漢字「岐阜県」の「阜」という漢字。この漢字をバラバラにしないでそのまま書くときの、正しい総画数は何画？,８画,７画,９画,６画,,
439,国語（漢字）,choice,漢字のパーツ（部首）の名前。漢字の上側に帽子のように乗っかっているパーツのことを、部首の呼び方で何という？,かんむり（冠）,あし（足）,へん（辺）,つくり,,
440,国語（漢字）,choice,漢字のパーツ（部首）の名前。漢字の下側に土台のようにくっついているパーツのことを、部首の呼び方で何という？,あし（足）,かんむり（冠）,たれ,かまえ,,
